st,serotype,study_id,logRR,logRR_lci,logRR_uci,sd_logRR,Comparison
11,6A,NCT03893448,0.2397177551166143,0,0.5931466496243921,0.1416259360822613,PCV15 vs PCV13
11,6A,NCT04384107,0.2154174181074051,0,0.562709962502827,0.1334999677824765,PCV15 vs PCV13
11,6A,NCT02987972_lot1,0.22213580231208585,0,0.55701809256548,0.13639954583291958,PCV15 vs PCV13
11,6A,NCT02987972_lot2,0.2070519718766375,0,0.5208722761089676,0.127197025221142,PCV15 vs PCV13
11,6A,NCT03848065,0.1685231149807298,0,0.5057346380709873,0.12386475787705307,PCV15 vs PCV13
12,7F,NCT01215188,0.06711155211486108,-0.0011268379520799506,0.3633004111305996,0.10980202177700485,PCV15 vs PCV13
12,7F,NCT02037984,0.028711225335257495,-0.0064872576435533475,0.36190839903097455,0.11025263581825775,PCV15 vs PCV13
12,7F,NCT03692871,0.02906137123346264,-0.012730912521630361,0.4588056185965957,0.13761952478712142,PCV15 vs PCV13
12,7F,NCT03893448,0.046334413010067355,0,0.27034626926891725,0.08456883988779913,PCV15 vs PCV13
12,7F,NCT04384107,0.04179327276903333,-0.00924827525572984,0.24778274627608363,0.07916375384299561,PCV15 vs PCV13
12,7F,NCT02987972_lot1,0.028433452844576212,0,0.21695485315582416,0.06625740694930253,PCV15 vs PCV13
12,7F,NCT02987972_lot2,0.02878918155479715,0,0.23522923935865825,0.06963410719786405,PCV15 vs PCV13
12,7F,NCT03848065,0.1171982729867529,-0.00813187182388323,0.5897983060947669,0.17724138374477025,PCV15 vs PCV13
13,19A,NCT01215188,0,-0.005695781194456388,0.22868742389412652,0.06894999107810434,PCV15 vs PCV13
13,19A,NCT02037984,0,-0.014125505627581558,0.06870635093233782,0.020203780968213084,PCV15 vs PCV13
13,19A,NCT03692871,0,-0.009376068982085779,0.2805196379811344,0.08562789976808374,PCV15 vs PCV13
13,19A,NCT03893448,0,-0.005699481097412362,0.1399660283510874,0.04191279034838797,PCV15 vs PCV13
13,19A,NCT04384107,0.022743594800843647,-0.012776177386935305,0.3030721208016368,0.09225178358942776,PCV15 vs PCV13
13,19A,NCT02987972_lot1,0,-0.0017834027136459413,0.08974950601909333,0.025905908873182157,PCV15 vs PCV13
13,19A,NCT02987972_lot2,0,-0.001910181183722056,0.0866010325848125,0.024976800230110334,PCV15 vs PCV13
13,19A,NCT03848065,9.265580519928207e-4,-0.038577076788908087,0.19530327231991113,0.05975567223326213,PCV15 vs PCV13
1,4,NCT03512288,0,-0.020772505228528044,0.21905000880321945,0.06812617124234685,PCV20 vs PCV13
1,4,NCT04382326,0,0,0.3041162432997815,0.09244208405362965,PCV20 vs PCV13
1,4,NCT04530838,0.10823289742546693,-0.013858629989257982,0.5742950352434953,0.18012677176963868,PCV20 vs PCV13
2,6B,NCT03512288,0,0,0.3096194953529663,0.09626951906119935,PCV20 vs PCV13
2,6B,NCT04382326,0,0,0.2873716172164176,0.09772847761372647,PCV20 vs PCV13
